body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20
0.011147	0.006171	0.678138	0.997851	-0.010521	-0.028539	0.058039	-0.207029	0.073147	0.066465	0.134449	0.289586	-0.275342	-0.051737	-0.002115	-0.068978	0.016010	0.228172	-0.171154	0.085299	0.241300	0.027421	-0.218340	-0.744414	0.254373	-0.035008	0.180848	-0.770762	0.000795	0.014535	0.051390	-0.013770	-0.039435	-0.098009	-0.074190	0.047730	-0.109860	-0.004245	-0.059700	-0.046590	0.125550	-0.421546	0.075045	-0.574651	0.540631	-0.386820	-0.089220	0.476250	0.471058
0.012206	0.006371	0.678034	0.997893	-0.010440	-0.027221	0.057966	-0.207016	0.073407	0.067433	0.134190	0.288823	-0.277197	-0.053112	-0.001224	-0.070948	0.015917	0.227071	-0.172094	0.087563	0.232872	0.028920	-0.229834	-0.733604	0.246640	-0.036794	0.190372	-0.761344	0.000405	0.012520	0.047585	-0.012645	-0.037505	-0.091246	-0.067200	0.043225	-0.095325	-0.004970	-0.054155	-0.046700	0.109800	-0.421465	0.074740	-0.574676	0.540654	-0.386925	-0.089550	0.476215	0.471079
0.013245	0.006560	0.677933	0.997931	-0.010363	-0.025943	0.057909	-0.207013	0.073648	0.068368	0.133943	0.288086	-0.278992	-0.054425	-0.000386	-0.072791	0.015811	0.226006	-0.173022	0.089691	0.224441	0.030411	-0.241327	-0.722788	0.238896	-0.038590	0.199897	-0.751919	-0.000360	0.011110	0.045170	-0.011790	-0.035629	-0.086700	-0.062610	0.039250	-0.085830	-0.005930	-0.051470	-0.045860	0.099540	-0.421630	0.074050	-0.574660	0.541089	-0.387690	-0.090270	0.476200	0.471592
0.014243	0.006725	0.677836	0.997964	-0.010295	-0.024745	0.057884	-0.207030	0.073851	0.069240	0.133719	0.287398	-0.280665	-0.055616	0.000346	-0.074381	0.015680	0.225012	-0.173928	0.091545	0.216007	0.031882	-0.252820	-0.711960	0.231132	-0.040405	0.209420	-0.742480	-0.000670	0.009470	0.042050	-0.010730	-0.033589	-0.080520	-0.056920	0.035270	-0.074370	-0.006400	-0.047170	-0.044830	0.087100	-0.421571	0.073670	-0.574670	0.541191	-0.387811	-0.090670	0.476180	0.471722
0.015198	0.006869	0.677744	0.997992	-0.010233	-0.023623	0.057871	-0.207040	0.074027	0.070050	0.133514	0.286742	-0.282213	-0.056702	0.001025	-0.075766	0.015555	0.224119	-0.174815	0.093175	0.207579	0.033357	-0.264314	-0.701140	0.223384	-0.042217	0.218944	-0.733050	-0.000370	0.008420	0.039785	-0.009995	-0.032406	-0.075796	-0.052975	0.033275	-0.066675	-0.006145	-0.043405	-0.044125	0.078700	-0.421315	0.073790	-0.574699	0.540905	-0.387225	-0.090550	0.476165	0.471404
0.016132	0.007002	0.677655	0.998018	-0.010174	-0.022539	0.057866	-0.207045	0.074188	0.070831	0.133319	0.286102	-0.283697	-0.057735	0.001677	-0.077048	0.015434	0.223276	-0.175693	0.094693	0.199154	0.034834	-0.275808	-0.690324	0.215643	-0.044027	0.228467	-0.723624	-0.000285	0.006975	0.037020	-0.009255	-0.030661	-0.069974	-0.048240	0.030600	-0.057840	-0.006000	-0.039420	-0.042585	0.068985	-0.421154	0.073830	-0.574724	0.540809	-0.386925	-0.090525	0.476160	0.471270
0.016998	0.007109	0.677573	0.998040	-0.010124	-0.021560	0.057880	-0.207051	0.074306	0.071531	0.133144	0.285516	-0.285012	-0.058631	0.002249	-0.078079	0.015315	0.222542	-0.176519	0.095934	0.190732	0.036311	-0.287303	-0.679508	0.207907	-0.045838	0.237990	-0.714199	-0.000375	0.005430	0.034420	-0.008735	-0.028770	-0.064469	-0.043840	0.027835	-0.049880	-0.006100	-0.036140	-0.040675	0.060195	-0.421045	0.073750	-0.574746	0.540890	-0.386855	-0.090585	0.476161	0.471330
0.017842	0.007208	0.677494	0.998059	-0.010076	-0.020614	0.057901	-0.207060	0.074405	0.072208	0.132970	0.284951	-0.286276	-0.059489	0.002790	-0.079043	0.015190	0.221830	-0.177320	0.097101	0.182312	0.037784	-0.298798	-0.668688	0.200169	-0.047650	0.247513	-0.704771	-0.000600	0.004080	0.032650	-0.008660	-0.027149	-0.060690	-0.040900	0.025570	-0.044810	-0.006580	-0.034490	-0.038860	0.054570	-0.420940	0.073510	-0.574760	0.541130	-0.386960	-0.090720	0.476160	0.471599
0.018638	0.007292	0.677420	0.998075	-0.010032	-0.019733	0.057935	-0.207075	0.074469	0.072837	0.132797	0.284430	-0.287439	-0.060267	0.003272	-0.079872	0.015052	0.221163	-0.178073	0.098117	0.173895	0.039251	-0.310293	-0.657863	0.192428	-0.049467	0.257037	-0.695335	-0.000950	0.003490	0.030220	-0.007680	-0.025900	-0.055570	-0.037200	0.023150	-0.038780	-0.006350	-0.031760	-0.036740	0.047800	-0.420871	0.073130	-0.574759	0.541151	-0.387100	-0.091160	0.476139	0.471650
0.019390	0.007364	0.677351	0.998089	-0.009994	-0.018916	0.057976	-0.207098	0.074545	0.073417	0.132662	0.283915	-0.288499	-0.060977	0.003716	-0.080594	0.014936	0.220560	-0.178790	0.099013	0.165477	0.040709	-0.321788	-0.647042	0.184685	-0.051297	0.266559	-0.685905	-0.001249	0.003955	0.028345	-0.006285	-0.025646	-0.051670	-0.034590	0.021785	-0.034805	-0.005525	-0.029315	-0.035375	0.043270	-0.420870	0.072800	-0.574744	0.540940	-0.387205	-0.091685	0.476110	0.471455
0.020120	0.007430	0.677285	0.998101	-0.009957	-0.018129	0.058020	-0.207125	0.074627	0.073971	0.132546	0.283404	-0.289506	-0.061651	0.004143	-0.081264	0.014831	0.219990	-0.179488	0.099848	0.157060	0.042163	-0.333283	-0.636225	0.176940	-0.053134	0.276081	-0.676477	-0.001350	0.003120	0.026100	-0.006000	-0.024315	-0.047116	-0.031425	0.019995	-0.030330	-0.005175	-0.026865	-0.033225	0.038100	-0.420780	0.072795	-0.574741	0.540915	-0.387150	-0.091680	0.476100	0.471421
0.020782	0.007482	0.677226	0.998111	-0.009924	-0.017428	0.058072	-0.207152	0.074670	0.074461	0.132422	0.282943	-0.290383	-0.062234	0.004516	-0.081808	0.014729	0.219485	-0.180119	0.100537	0.148646	0.043621	-0.344778	-0.625406	0.169199	-0.054964	0.285603	-0.667048	-0.001460	0.001950	0.023990	-0.006130	-0.022675	-0.042920	-0.028455	0.018080	-0.026355	-0.005145	-0.024945	-0.030895	0.033460	-0.420620	0.072785	-0.574746	0.541040	-0.387075	-0.091585	0.476106	0.471540
