0.01,0,0.0,0.0,0.633582,0.0,0.023596,0.153187,-0.10927,0.015454,-0.13749,-0.004997,0.007705,-0.012599,-0.000956,-0.010388,0.008096,0.00014,0.001207,-0.010142
0.01,0,0.0,0.0,0.673582,0.0,0.023596,0.153613389,-0.10927,0.015454,-0.13749,-0.004997,0.007705,-0.012599,-0.000956,-0.010388,0.008096,0.00014,0.001207,-0.010142
0.11,0,-0.000274,5.8e-05,0.673565,-0.001307,0.023612,0.154011277,-0.110298,0.015426,-0.137505,-0.005026,0.007824,-0.012809,-0.001485,-0.009609,0.007622,-6.2e-05,0.001924,-0.009448
0.21,0,-0.000825,0.000129,0.673568,-0.003676,0.023611,0.154380663,-0.110879,0.01529,-0.137435,-0.006746,0.009305,-0.012789,-0.015378,-0.008822,0.006115,-0.000494,0.016643,-0.008496
0.31,0,-0.003572,0.000333,0.673543,-0.007496,0.023566,0.154721547,-0.110401,0.015189,-0.137456,-0.007569,0.006608,-0.005916,-0.123391,0.0,-0.00013,-0.004977,0.114986,-0.00342
0.41,0,-0.009145,0.000387,0.673615,-0.014672,0.023295,0.155033931,-0.108637,0.014872,-0.137406,-0.010292,-0.00895,0.029453,-0.333683,0.0,-0.02252,-0.026403,0.346232,0.0
0.51,0,-0.013632,0.000467,0.673725,-0.015514,0.023177,0.155317813,-0.108239,0.014622,-0.137305,-0.01194,-0.041934,0.074141,-0.534761,0.0,-0.070597,-0.051653,0.505387,0.0
0.61,0,-0.023921,0.002139,0.673575,-0.013066,0.022731,0.155573193,-0.104861,0.014253,-0.137216,-0.014435,-0.108152,0.141007,-0.894926,0.0,-0.147709,-0.086747,0.865044,0.0
0.71,0,-0.027573,0.001707,0.674081,-0.01055,0.022221,0.155800072,-0.101677,0.013783,-0.137122,-0.017504,-0.260084,0.236141,-1.1236,-0.056371,-0.303497,-0.124184,1.09153,-0.002913
0.81,0,-0.027719,-0.000127,0.675243,-0.016295,0.02166,0.15599845,-0.098511,0.013258,-0.136946,-0.020318,-0.463108,0.327779,-1.2282,-0.143897,-0.511469,-0.161329,1.26769,-0.041286
0.91,0,-0.027152,-0.002415,0.676722,-0.029494,0.02121,0.156168326,-0.098739,0.012517,-0.136737,-0.026546,-0.677288,0.419377,-1.32709,-0.249982,-0.758616,-0.168353,1.39608,-0.075467
1.01,0,-0.026293,-0.005896,0.678187,-0.042493,0.020848,0.1563097,-0.097871,0.01184,-0.136592,-0.032077,-0.873729,0.49087,-1.37736,-0.352886,-1.00538,-0.145141,1.48392,-0.107958
1.11,0,-0.025533,-0.00924,0.67936,-0.054571,0.020473,0.156422574,-0.096339,0.011509,-0.136534,-0.033116,-1.04073,0.539435,-1.38482,-0.435526,-1.22963,-0.102145,1.54841,-0.127975
1.21,0,-0.025141,-0.012313,0.680521,-0.061232,0.020176,0.156506946,-0.095492,0.011308,-0.13645,-0.033669,-1.18033,0.557117,-1.35033,-0.495449,-1.41454,-0.059599,1.5708,-0.147373
1.31,0,-0.025602,-0.01355,0.681563,-0.063393,0.019789,0.156562816,-0.094631,0.01091,-0.136151,-0.036735,-1.30112,0.5471,-1.3042,-0.536931,-1.56005,-0.032411,1.5708,-0.174808
1.41,0,-0.026661,-0.013441,0.68216,-0.059797,0.0193,0.156590185,-0.091875,0.010508,-0.136141,-0.038835,-1.40957,0.529392,-1.28337,-0.57186,-1.67835,-0.014895,1.56076,-0.197118
1.51,0,-0.027907,-0.013135,0.682589,-0.05123,0.018809,0.156589053,-0.088474,0.010259,-0.136136,-0.040495,-1.50738,0.501498,-1.27643,-0.594291,-1.77421,-0.005116,1.54176,-0.215878
1.61,0,-0.02936,-0.012414,0.682811,-0.040105,0.018308,0.156559419,-0.085278,0.010047,-0.136091,-0.041301,-1.58487,0.464291,-1.26078,-0.609132,-1.84657,-0.008364,1.52815,-0.238099
1.71,0,-0.031029,-0.011342,0.682586,-0.029189,0.017721,0.156501284,-0.078272,0.00971,-0.136137,-0.042809,-1.63187,0.435223,-1.22634,-0.634387,-1.89521,-0.023328,1.49676,-0.267073
1.81,0,-0.033397,-0.011221,0.681597,-0.029182,0.01668,0.156414647,-0.074654,0.008445,-0.136994,-0.052325,-1.6293,0.4376,-1.16058,-0.69323,-1.90673,-0.041802,1.445,-0.323064
