body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_pos21	joint_pos22	joint_pos23	joint_pos24	joint_pos25	joint_pos26	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20	joint_vel_21	joint_vel_22	joint_vel_23	joint_vel_24	joint_vel_25	joint_vel_26
0.015563	2.105267	0.936974	0.186604	0.044463	-0.019102	0.981243	0.110200	0.302552	-0.022191	0.608993	-0.484326	-0.046290	-0.078535	0.237527	-0.209532	0.659171	-0.415913	0.087049	-0.093884	-0.844488	-0.258676	-1.228462	-1.466006	-0.039870	0.405026	0.000000	-1.131821	-0.716829	0.197119	-1.629276	0.196570	-0.429482	0.000000	-0.084964	0.154994	-0.072363	0.037420	0.010635	-0.002149	-0.097644	0.154542	-0.203507	0.117904	0.023271	0.030768	0.127325	0.324178	0.025608	-0.552160	-0.220764	-0.005513	-0.261435	0.000000	-0.634265	-0.736362	0.349659	-0.082561	0.057188	0.080813	0.000000
0.015898	2.105063	0.936960	0.187941	0.044306	-0.018526	0.981006	0.108696	0.305880	-0.023098	0.609615	-0.484233	-0.046167	-0.080346	0.240944	-0.213480	0.661887	-0.415546	0.087604	-0.092528	-0.843839	-0.258051	-1.239319	-1.472336	-0.041410	0.399883	0.000000	-1.143688	-0.729781	0.205143	-1.629556	0.197068	-0.427667	0.000000	-0.063566	0.178759	-0.019668	0.022295	0.006983	0.004867	-0.081924	0.183033	-0.200057	0.163649	0.010614	0.016489	0.006270	-0.456825	0.124642	-0.586054	-0.514209	-0.224916	-0.294535	0.000000	-0.668427	-0.537887	0.616168	0.130090	-0.064419	0.131743	0.000000
0.016050	2.104800	0.936970	0.189508	0.044218	-0.018043	0.980717	0.107658	0.309702	-0.022978	0.609885	-0.484046	-0.046096	-0.081812	0.244848	-0.217534	0.665717	-0.415489	0.087709	-0.093633	-0.862761	-0.253690	-1.251904	-1.486574	-0.048866	0.393245	0.000000	-1.158558	-0.738345	0.221766	-1.624073	0.193993	-0.424212	0.000000	-0.045880	0.182471	0.039870	-0.018995	0.011504	0.004732	-0.066825	0.193572	-0.163539	0.152169	0.014997	-0.003434	-0.142486	-1.537853	0.385511	-0.373086	-0.801235	-0.506368	-0.253992	0.000000	-0.668934	0.020485	0.974123	0.473693	-0.291580	0.192484	0.000000
0.016018	2.104444	0.937048	0.191768	0.044294	-0.017556	0.980283	0.106861	0.313179	-0.021503	0.608855	-0.483773	-0.045977	-0.083019	0.248687	-0.220022	0.667974	-0.414946	0.087467	-0.098227	-0.905353	-0.242631	-1.254242	-1.504386	-0.061665	0.389723	0.000000	-1.170445	-0.728961	0.244108	-1.610608	0.185405	-0.419967	0.000000	-0.032305	0.174583	0.118279	-0.072633	0.016192	0.002984	-0.055398	0.194232	-0.076718	0.084025	0.028045	-0.007354	-0.273372	-2.382925	0.666316	0.182635	-0.778997	-0.635761	-0.072809	0.000000	-0.427410	0.689974	1.122712	0.767428	-0.440271	0.204973	0.000000
0.015926	2.104057	0.937106	0.193436	0.044645	-0.017336	0.979943	0.106365	0.316685	-0.018246	0.606979	-0.483399	-0.045976	-0.084028	0.252617	-0.220603	0.669078	-0.414367	0.087415	-0.104568	-0.958078	-0.227037	-1.244599	-1.517734	-0.074297	0.390332	0.000000	-1.175655	-0.710746	0.266674	-1.593375	0.176382	-0.416013	0.000000	-0.011822	0.169085	0.194819	-0.110047	0.014434	0.004480	-0.038766	0.193194	0.005130	0.040424	0.030581	0.007112	-0.348010	-2.732569	0.827996	0.607741	-0.494811	-0.578872	0.080640	0.000000	-0.039187	0.917803	1.071499	0.886288	-0.390570	0.169612	0.000000
0.015557	2.103600	0.937178	0.195652	0.045540	-0.017311	0.979463	0.106388	0.319942	-0.013710	0.604453	-0.483195	-0.045798	-0.084569	0.256415	-0.219817	0.669591	-0.413722	0.087751	-0.112148	-1.014655	-0.209511	-1.229932	-1.524178	-0.084819	0.392948	0.000000	-1.172013	-0.692249	0.286968	-1.575156	0.169782	-0.413183	0.000000	0.007238	0.119170	0.260313	-0.126532	0.017929	-0.003146	-0.018006	0.154307	0.091537	0.032949	0.018472	0.004380	-0.415346	-2.627103	0.729507	0.870645	-0.210482	-0.419413	0.192672	0.000000	0.494975	0.960153	0.985529	0.894713	-0.292706	0.125740	0.000000
0.015283	2.103509	0.937257	0.196579	0.046914	-0.017209	0.979214	0.106655	0.321452	-0.007834	0.601918	-0.482681	-0.046102	-0.084748	0.258790	-0.216941	0.670396	-0.413628	0.087590	-0.121182	-1.063162	-0.197857	-1.209773	-1.526153	-0.091073	0.398039	0.000000	-1.155856	-0.672340	0.306096	-1.557587	0.164674	-0.410983	0.000000	0.023308	0.018035	0.366370	-0.148284	0.017328	-0.020362	0.005269	0.072114	0.230005	0.037831	-0.023907	-0.037670	-0.471034	-2.176753	0.474324	1.032066	0.025818	-0.213025	0.280736	0.000000	1.078659	1.230912	0.863334	0.849032	-0.297712	0.080942	0.000000
0.014252	2.103274	0.937296	0.196476	0.048335	-0.017302	0.979164	0.107321	0.320663	0.000944	0.598522	-0.482502	-0.046613	-0.084359	0.259300	-0.210617	0.671104	-0.414679	0.086245	-0.130989	-1.101726	-0.190538	-1.188650	-1.523145	-0.093340	0.404178	0.000000	-1.128866	-0.643013	0.321502	-1.541195	0.157874	-0.409945	0.000000	0.038598	-0.065847	0.407793	-0.178862	0.026283	-0.022249	0.033252	-0.001468	0.307413	0.015748	-0.021041	-0.090650	-0.535704	-1.976728	0.350660	0.952199	0.246057	-0.075941	0.260394	0.000000	1.634091	1.728302	0.544462	0.815481	-0.378272	-0.029561	0.000000
0.013239	2.103036	0.937421	0.195992	0.050483	-0.017877	0.979142	0.108199	0.318818	0.008478	0.594764	-0.481630	-0.046992	-0.083418	0.258731	-0.204645	0.671026	-0.414470	0.083964	-0.142610	-1.142231	-0.183831	-1.171685	-1.516311	-0.094111	0.408455	0.000000	-1.090492	-0.603207	0.327874	-1.524968	0.149543	-0.412166	0.000000	0.041281	-0.151564	0.315239	-0.115074	0.045114	0.006146	0.054762	-0.092173	0.301614	0.024457	0.010005	-0.128753	-0.554833	-1.676962	0.236250	0.683400	0.304979	-0.005633	0.165374	0.000000	1.793453	1.641531	0.050046	0.766188	-0.312538	-0.167933	0.000000
0.012362	2.102872	0.937450	0.193901	0.052125	-0.018377	0.979463	0.108972	0.314601	0.013554	0.593919	-0.480698	-0.046367	-0.082168	0.255613	-0.198552	0.672082	-0.414279	0.081094	-0.153182	-1.168804	-0.181088	-1.161314	-1.510946	-0.093566	0.410793	0.000000	-1.057128	-0.577351	0.323504	-1.510548	0.145372	-0.416662	0.000000	0.026320	-0.273149	0.231212	0.000125	0.052637	0.052329	0.062514	-0.218427	0.325783	0.073729	-0.007832	-0.167667	-0.524559	-1.115471	0.024541	0.499961	0.222814	0.067564	0.107882	0.000000	1.807576	1.458824	-0.530992	0.827229	-0.251757	-0.281790	0.000000
