body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_pos21	joint_pos22	joint_pos23	joint_pos24	joint_pos25	joint_pos26	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20	joint_vel_21	joint_vel_22	joint_vel_23	joint_vel_24	joint_vel_25	joint_vel_26
0.077249	2.152848	0.927142	0.071674	-0.002698	-0.000139	0.997425	0.031472	0.143085	-0.343773	0.773158	-0.467004	-0.078974	-0.069000	0.066241	-0.406656	0.783441	-0.445961	0.093210	0.044840	0.002998	0.154400	-0.163790	-0.242142	0.141558	0.061125	0.000000	-0.048081	-0.153803	0.394419	-0.216820	-0.093424	-0.043539	0.000000	0.005207	0.008489	-0.006180	0.000127	0.001942	-0.001345	0.005190	0.007418	-0.008591	-0.002101	0.008833	0.001252	-0.006043	0.194555	0.011181	-0.014300	-0.226542	0.121867	0.065364	0.000000	0.141579	-0.050795	0.005600	-0.149282	-0.112974	-0.037665	0.000000
0.077357	2.152853	0.927148	0.071705	-0.002712	-0.000189	0.997422	0.031590	0.143168	-0.343964	0.773158	-0.466946	-0.078940	-0.068882	0.066338	-0.406857	0.783399	-0.445772	0.093247	0.044760	0.006525	0.154607	-0.164054	-0.246321	0.143632	0.062294	0.000000	-0.045445	-0.154706	0.394445	-0.219475	-0.095343	-0.044221	0.000000	0.005691	0.006963	-0.008058	0.000374	0.001473	-0.002995	0.005535	0.008724	-0.010029	-0.001974	0.008202	0.000351	-0.000774	0.162393	0.010328	-0.010072	-0.192848	0.091331	0.053762	0.000000	0.119862	-0.039876	-0.007115	-0.125652	-0.084718	-0.030274	0.000000
0.077443	2.152862	0.927141	0.071799	-0.002728	-0.000216	0.997415	0.031700	0.143364	-0.344096	0.773173	-0.466945	-0.079094	-0.068778	0.066590	-0.407057	0.783362	-0.445633	0.093224	0.044809	0.009494	0.154813	-0.164192	-0.249855	0.145211	0.063276	0.000000	-0.043287	-0.155398	0.394134	-0.221846	-0.096813	-0.044750	0.000000	0.006825	0.017034	-0.005861	0.000349	0.000372	-0.009067	0.006842	0.014409	-0.010665	-0.001171	0.010262	-0.001768	-0.001851	0.137559	0.010692	-0.004137	-0.160128	0.068881	0.046831	0.000000	0.101477	-0.038258	-0.008138	-0.101761	-0.063102	-0.024514	0.000000
0.077552	2.152883	0.927140	0.071992	-0.002742	-0.000293	0.997402	0.031863	0.143849	-0.344198	0.773172	-0.466931	-0.079303	-0.068608	0.066915	-0.407284	0.783352	-0.445362	0.093176	0.044686	0.012027	0.155034	-0.164220	-0.252726	0.146387	0.064167	0.000000	-0.041386	-0.156236	0.394119	-0.223545	-0.097867	-0.045202	0.000000	0.006714	0.016507	-0.003059	0.000697	0.002767	-0.005725	0.006729	0.013233	-0.008804	0.000463	0.009819	-0.000890	-0.004978	0.116662	0.005792	-0.002208	-0.132910	0.051355	0.040523	0.000000	0.085829	-0.039310	-0.001768	-0.078133	-0.045813	-0.020905	0.000000
0.077639	2.152893	0.927142	0.072064	-0.002723	-0.000325	0.997396	0.031968	0.144024	-0.344218	0.773201	-0.466834	-0.079323	-0.068509	0.067119	-0.407409	0.783381	-0.445240	0.093189	0.044610	0.014160	0.155045	-0.164281	-0.255172	0.147265	0.064897	0.000000	-0.039854	-0.156970	0.394064	-0.224971	-0.098646	-0.045586	0.000000	0.005413	0.009366	-0.000803	0.000924	0.001286	-0.000505	0.005186	0.011802	-0.006434	0.001781	0.006177	-0.000046	-0.002524	0.099464	-0.002744	-0.003222	-0.113216	0.039084	0.031360	0.000000	0.068798	-0.030063	-0.010960	-0.070450	-0.035185	-0.016462	0.000000
0.077714	2.152917	0.927138	0.072239	-0.002693	-0.000366	0.997384	0.032080	0.144224	-0.344230	0.773208	-0.466880	-0.079323	-0.068401	0.067387	-0.407541	0.783423	-0.445115	0.093174	0.044585	0.016006	0.154925	-0.164349	-0.257254	0.147950	0.065422	0.000000	-0.038634	-0.157438	0.393681	-0.226363	-0.099274	-0.045860	0.000000	0.005765	0.010544	-0.000922	0.000583	-0.002251	-0.002154	0.005522	0.010865	-0.005900	0.002120	0.004764	-0.002019	0.003024	0.083343	-0.007170	-0.002775	-0.097849	0.030470	0.021756	0.000000	0.057710	-0.022477	-0.025132	-0.062823	-0.027838	-0.013145	0.000000
0.077803	2.152960	0.927135	0.072291	-0.002670	-0.000384	0.997380	0.032199	0.144446	-0.344255	0.773224	-0.466924	-0.079409	-0.068288	0.067554	-0.407645	0.783465	-0.445050	0.093108	0.044731	0.017494	0.154758	-0.164392	-0.259086	0.148484	0.065767	0.000000	-0.037545	-0.157869	0.393058	-0.227484	-0.099759	-0.046112	0.000000	0.006515	0.010608	0.002209	0.001048	-0.001154	-0.003345	0.006222	0.009805	-0.002503	0.002500	0.005094	-0.001178	0.000639	0.072232	-0.007590	0.000114	-0.080367	0.024113	0.015946	0.000000	0.052175	-0.025472	-0.020169	-0.049650	-0.019153	-0.012547	0.000000
0.077875	2.152973	0.927145	0.072397	-0.002616	-0.000438	0.997373	0.032341	0.144648	-0.344142	0.773250	-0.466926	-0.079457	-0.068152	0.067779	-0.407641	0.783523	-0.444911	0.093127	0.044610	0.018895	0.154621	-0.164344	-0.260469	0.148915	0.066059	0.000000	-0.036547	-0.158457	0.392874	-0.228349	-0.100040	-0.046362	0.000000	0.006231	0.007059	0.008724	-0.000471	0.000028	0.002371	0.005561	0.009928	0.004770	0.000945	0.004141	-0.002644	-0.002887	0.063794	-0.006874	0.009277	-0.062569	0.019731	0.014333	0.000000	0.049377	-0.028927	-0.006887	-0.039107	-0.011033	-0.010464	0.000000
0.077894	2.152997	0.927157	0.072499	-0.002517	-0.000476	0.997365	0.032448	0.144728	-0.343906	0.773205	-0.466923	-0.079314	-0.068066	0.067951	-0.407455	0.783503	-0.444884	0.093002	0.044615	0.020046	0.154483	-0.164021	-0.261589	0.149274	0.066340	0.000000	-0.035570	-0.159026	0.392783	-0.229049	-0.100200	-0.046531	0.000000	0.005563	0.003843	0.008778	-0.000919	0.000963	0.000123	0.004823	0.005307	0.007048	-0.000989	0.002871	-0.005202	-0.001357	0.052183	-0.006578	0.016513	-0.049082	0.016191	0.011078	0.000000	0.044297	-0.030151	-0.021051	-0.026883	-0.008787	-0.009338	0.000000
0.077960	2.153022	0.927158	0.072505	-0.002464	-0.000502	0.997365	0.032563	0.144802	-0.343791	0.773214	-0.466888	-0.079452	-0.067959	0.067991	-0.407359	0.783484	-0.444796	0.092919	0.044556	0.020982	0.154358	-0.163684	-0.262432	0.149562	0.066503	0.000000	-0.034775	-0.159663	0.392032	-0.229425	-0.100392	-0.046735	0.000000	0.004557	-0.000723	0.002838	0.000486	0.001008	-0.002553	0.004125	-0.001331	0.003491	-0.000601	0.002142	-0.001046	-0.002398	0.042282	-0.004981	0.016435	-0.037341	0.012608	0.007854	0.000000	0.035774	-0.029011	-0.045606	-0.015484	-0.010145	-0.009653	0.000000
