0.706,0.0028299848,0.010400028,-0.70900005,0.0863,-0.00438,-0.0423,0.205,-0.207,-0.0395,-0.0681,0.0638,-0.023,0.154,-0.157,0.0532,0.0179,-0.182,0.184,-0.464,-0.167,0.0245,-0.106,0.0,-0.0678,-0.211,0.283,-0.223,0.0335,-0.0141,0.0,0.008999929,0.22379997,-3.3509996,5.6099987,-1.3199992,-0.684,-0.03300011,-0.16499981,-2.6399996,4.47,-1.3199999,0.7319998,0.117000006,-0.09000003,0.72000027,-0.90000033,-1.1399999,2.5049999,-2.4,0.0,0.8069999,-0.45000017,0.060001016,-2.3999996,-0.567,0.23790002,0.0
0.706,0.0028299848,0.010400028,-0.70900005,0.08648,9.59998e-05,-0.10931999,0.31719998,-0.23339999,-0.05318,-0.06876,0.060500003,-0.075799994,0.2434,-0.1834,0.067839995,0.02024,-0.1838,0.1984,-0.482,-0.1898,0.074599996,-0.154,0.0,-0.05166,-0.22,0.2842,-0.271,0.022160001,-0.009342,0.0,0.0064998865,0.19115,-2.8874998,4.835,-1.1249993,-0.5894999,-0.030000135,-0.14849994,-2.2849998,3.8750005,-1.1350002,0.6295001,0.10500006,-0.07500015,0.62000006,-0.7650003,-0.97,2.1675003,-2.065,0.0,0.691,-0.37999973,0.055000186,-2.055,-0.489,0.20775001,0.0
0.70602125,0.0028580772,0.010260338,-0.70802134,0.086559996,0.0032659997,-0.15779999,0.3984,-0.25199997,-0.06308,-0.0693,0.057860002,-0.1144,0.30900002,-0.20240001,0.07838,0.022100002,-0.185,0.2088,-0.4946,-0.2058,0.111200005,-0.1886,0.0,-0.04016,-0.22619998,0.2852,-0.3052,0.013940001,-0.00579,0.0,-0.0010000542,0.0932,-1.4970002,2.5100007,-0.5400002,-0.306,-0.02100002,-0.09900015,-1.2200001,2.09,-0.58000016,0.32200012,0.06900001,-0.030000135,0.3199998,-0.36000013,-0.46000034,1.1550002,-1.0600004,0.0,0.34300005,-0.1699999,0.039999932,-1.0200001,-0.255,0.1173,0.0
0.7060213,0.0028520706,0.010140316,-0.70802134,0.08644,0.0038239998,-0.1692,0.4176,-0.255,-0.06542,-0.0696,0.056539997,-0.1246,0.327,-0.20660001,0.08072,0.023,-0.185,0.2112,-0.4964,-0.20820001,0.1208,-0.19640002,0.0,-0.03794,-0.2268,0.2858,-0.3118,0.011960001,-0.00465,0.0,-0.007999688,0.022200007,-0.5200002,0.8799993,-0.12000054,-0.11200011,-0.015000068,-0.07000007,-0.4900001,0.85999966,-0.19999966,0.112999976,0.048999954,-0.010000169,0.119999796,-0.079999864,-0.11000037,0.46999976,-0.37999973,0.0,0.10299999,-0.020000339,0.020000339,-0.29999986,-0.106699996,0.062299985,0.0
0.70600003,0.002849996,0.010100014,-0.708,0.08624001,0.004154,-0.1786,0.43359998,-0.2568,-0.06756,-0.069900006,0.05506,-0.134,0.3434,-0.2104,0.0829,0.02406,-0.18540001,0.2136,-0.4978,-0.21020001,0.13,-0.2038,0.0,-0.03604,-0.227,0.286,-0.3172,0.009672001,-0.0032980004,0.0,-0.010999851,0.013650011,-0.44500008,0.75999945,-0.07499978,-0.10449998,-0.015000068,-0.07599983,-0.46000016,0.80000013,-0.18499978,0.10700002,0.055,-0.02500005,0.12000017,-0.065000355,-0.094999745,0.45499986,-0.36499947,0.0,0.09099999,-0.0050000846,0.0050000846,-0.25499985,-0.11824999,0.07024999,0.0
0.70600003,0.002849996,0.010100014,-0.708,0.086,0.00437,-0.187,0.44799998,-0.258,-0.0696,-0.0702,0.053500004,-0.143,0.359,-0.214,0.085,0.0252,-0.186,0.216,-0.499,-0.212,0.139,-0.211,0.0,-0.0343,-0.227,0.286,-0.322,0.007230001,-0.0018400006,0.0,-0.009000301,0.0008999952,-0.30000025,0.5100012,-0.045000017,-0.07799994,-0.010499917,-0.06300006,-0.32999998,0.5850002,-0.13499968,0.07949993,0.043499984,-0.029999763,0.090000406,-0.045000017,-0.059999526,0.34500027,-0.28500035,0.0,0.06300006,0.0,0.0,-0.16499981,-0.10020002,0.060510006,0.0
0.7070001,0.0027900152,0.009830033,-0.70800006,0.08588,0.00419,-0.19060001,0.45400003,-0.2586,-0.07068,-0.07032,0.052539997,-0.1472,0.3668,-0.21579999,0.08608,0.025799999,-0.1866,0.21720001,-0.4996,-0.2126,0.1438,-0.2152,0.0,-0.03352,-0.227,0.286,-0.3238,0.0056640003,-0.00087760016,0.0,-0.0055000186,-0.011000014,-0.16499981,0.280001,-0.030000508,-0.05099997,-0.0054998323,-0.04800018,-0.20000003,0.36500022,-0.07999949,0.051000156,0.028500007,-0.030000135,0.054999813,-0.029999018,-0.02500005,0.22500008,-0.20000003,0.0,0.037499983,0.0,0.0050000846,-0.08499995,-0.07405004,0.046005026,0.0
0.7070001,0.0027100104,0.009649986,-0.7070001,0.08578,0.0039299997,-0.1936,0.45920002,-0.2592,-0.07164,-0.07042,0.051579997,-0.15100001,0.3736,-0.21719998,0.08704001,0.02634,-0.18720001,0.2182,-0.5002,-0.213,0.148,-0.219,0.0,-0.0328,-0.227,0.28620002,-0.3254,0.0042679994,2.0032167e-07,0.0,-0.003999844,-0.01699999,-0.119999796,0.21999851,-0.029999763,-0.04200004,-0.0040000305,-0.0479999,-0.1699999,0.2899997,-0.0500001,0.04200004,0.024000043,-0.029999763,0.039999932,-0.030000508,-0.010000169,0.1799997,-0.1699999,0.0,0.032999925,0.0,0.019999593,-0.069999695,-0.061300002,0.03965999,0.0
0.7070001,0.0027100104,0.009649986,-0.7070001,0.08572,0.0035100002,-0.1954,0.46279997,-0.2598,-0.07236,-0.070480004,0.05062,-0.154,0.3784,-0.21779999,0.08776,0.02676,-0.18779999,0.21880001,-0.5008,-0.213,0.151,-0.222,0.0,-0.0322,-0.227,0.2868,-0.3266,0.0032120002,0.00070879963,0.0,-0.0040000305,-0.028499972,-0.09000003,0.15999973,-0.019999593,-0.036000088,-0.0050000846,-0.055999868,-0.12000017,0.22999942,-0.040000677,0.03299974,0.020999974,-0.03999956,0.029999763,-0.040000677,0.0,0.14999993,-0.14000013,0.0,0.027999934,0.0,0.049999356,-0.039999932,-0.049299974,0.033469982,0.0
0.70800006,0.002640006,0.009499991,-0.707,0.08562,0.0027900008,-0.1972,0.4656,-0.26,-0.07308,-0.07062,0.049340002,-0.15580001,0.38279998,-0.21880001,0.08836,0.02718,-0.18879999,0.21939999,-0.5018,-0.213,0.154,-0.2246,0.0,-0.031680003,-0.227,0.2882,-0.327,0.0022960005,0.0013389997,0.0,-0.0055000186,-0.039749987,-0.09000003,0.13000071,-0.0050000846,-0.0359999,-0.007999875,-0.06800005,-0.07500015,0.21499991,-0.055000186,0.02849996,0.020999974,-0.055000186,0.029999763,-0.055000186,0.0,0.1500003,-0.12499988,0.0,0.02500005,0.0,0.079999864,-0.010000169,-0.04404999,0.03053,0.0
