# commandJointPosJointVel data (joint_pos followed by joint_vel), shape: (1500, 54)
-0.037428 -0.047232 -0.049864 -0.017600 -0.035860 -0.007929 0.004676 -0.055697 -0.046878 0.013343 -0.013881 -0.000000 -0.000000 -0.007665 -0.005133 -0.001133 -0.001864 -0.004154 0.000000 -0.001200 -0.003119 -0.000818 -0.000220 0.002328 -0.002879 0.000000 0.000000 2.502721 -0.629527 -0.409869 9.345459 -12.160537 -4.010299 -9.764435 -4.749713 -4.089814 48.733665 -45.067093 6.463859 5.036558 -5.235310 0.613773 -4.723030 -5.577751 -15.034429 -17.621195 -1.361597 3.432934 9.785054 5.818445 18.434469 -12.030344 0.000000 0.000000
0.012627 -0.059823 -0.058061 0.169310 -0.279071 -0.088135 -0.190612 -0.150691 -0.128674 0.988016 -0.915223 0.129277 0.100731 -0.112372 0.007142 -0.095593 -0.113419 -0.304842 -0.352424 -0.028432 0.065539 0.194883 0.116149 0.371017 -0.243486 0.000000 0.000000 2.098761 -0.500443 -0.062637 8.107070 -9.817671 -2.986101 -8.357608 -4.890848 -4.335159 40.630219 -37.539898 7.015446 5.613560 -4.029318 0.718100 -4.412282 -4.996673 -12.508612 -14.666245 -1.157294 2.851446 8.222391 4.886744 15.433337 -10.016103 0.000000 0.000000
0.046523 -0.067250 -0.052369 0.306683 -0.428567 -0.127373 -0.329628 -0.251331 -0.220284 1.638551 -1.515477 0.280618 0.224542 -0.168838 0.023591 -0.177624 -0.201731 -0.504498 -0.586650 -0.047492 0.110939 0.328077 0.195250 0.619661 -0.403523 0.000000 0.000000 0.886879 -0.113189 0.979057 4.391901 -2.789073 0.086492 -4.137125 -5.314252 -5.071195 16.319855 -14.958298 8.670208 7.344565 -0.411342 1.031078 -3.480036 -3.253438 -4.931153 -5.801387 -0.544384 1.106979 3.534402 2.091641 6.429933 -3.973371 0.000000 0.000000
0.048102 -0.064350 -0.018899 0.344986 -0.390634 -0.084676 -0.356097 -0.363261 -0.331522 1.640810 -1.513555 0.476085 0.394514 -0.128825 0.048385 -0.234795 -0.243556 -0.502088 -0.584479 -0.050207 0.109819 0.336259 0.199815 0.628214 -0.402421 0.000000 0.000000 0.053132 0.113119 1.141673 1.317687 1.309032 1.555025 -0.989286 -3.910142 -3.915826 0.089052 0.087568 6.778583 5.949680 1.482200 0.902484 -1.950559 -1.436575 0.100932 0.085165 -0.089903 -0.042293 0.265747 0.153283 0.300422 0.039632 0.000000 0.000000
0.048648 -0.062725 -0.006703 0.359391 -0.376206 -0.065172 -0.369200 -0.407736 -0.376917 1.642113 -1.511974 0.551761 0.462530 -0.109550 0.059690 -0.255646 -0.259194 -0.500461 -0.583243 -0.051088 0.109247 0.338707 0.201381 0.631678 -0.401938 0.000000 0.000000 0.014395 0.065328 0.343903 0.421535 0.427591 0.685229 -0.488012 -1.380573 -1.446738 0.053218 0.074759 2.286384 2.126347 0.704536 0.396614 -0.588587 -0.454517 0.071597 0.050135 -0.021091 -0.021735 0.050756 0.040851 0.109562 0.016405 0.000000 0.000000
0.048677 -0.061737 -0.005143 0.361847 -0.373530 -0.057266 -0.375618 -0.418484 -0.389392 1.642939 -1.510564 0.567541 0.479568 -0.100644 0.064250 -0.258338 -0.261737 -0.499224 -0.582474 -0.051051 0.108949 0.338289 0.201449 0.632597 -0.401765 0.000000 0.000000 -0.000501 0.047318 0.064827 0.109334 0.120450 0.384577 -0.324131 -0.431393 -0.518873 0.026676 0.075430 0.611658 0.683675 0.448977 0.232595 -0.089446 -0.082461 0.025323 0.009556 0.003592 -0.014972 -0.017323 -0.014663 0.062041 -0.019550 0.000000 0.000000
0.048628 -0.060832 -0.004109 0.363764 -0.371388 -0.049789 -0.382165 -0.424992 -0.397672 1.643180 -1.508957 0.576227 0.489877 -0.091591 0.068994 -0.259224 -0.262492 -0.499448 -0.582861 -0.050944 0.108648 0.338014 0.200795 0.634160 -0.402720 0.000000 0.000000 -0.002517 0.044323 0.048626 0.092490 0.103716 0.369018 -0.325812 -0.300182 -0.386957 0.007921 0.081152 0.394243 0.474504 0.451956 0.238722 -0.035798 -0.029284 -0.019059 -0.024274 0.005245 -0.014951 -0.020383 -0.028878 0.078925 -0.047914 0.000000 0.000000
0.048577 -0.059964 -0.003198 0.365547 -0.369382 -0.042506 -0.388650 -0.430491 -0.404870 1.643256 -1.507318 0.583311 0.498548 -0.082566 0.073799 -0.259770 -0.262908 -0.499987 -0.583445 -0.050841 0.108351 0.337474 0.200294 0.635754 -0.403681 0.000000 0.000000 -0.002614 0.041578 0.039485 0.082410 0.093494 0.354505 -0.321224 -0.224520 -0.305719 -0.004563 0.083506 0.273976 0.351681 0.449906 0.243289 -0.010303 -0.003866 -0.042710 -0.039046 0.004968 -0.014622 -0.040320 -0.017416 0.081280 -0.048361 0.000000 0.000000
0.048523 -0.059169 -0.002530 0.367061 -0.367648 -0.035609 -0.395014 -0.433973 -0.409901 1.642998 -1.505617 0.587187 0.503944 -0.073595 0.078725 -0.259636 -0.262647 -0.501156 -0.584423 -0.050745 0.108063 0.336401 0.200098 0.637411 -0.404654 0.000000 0.000000 -0.002991 0.037282 0.029228 0.070718 0.081432 0.345014 -0.311331 -0.140651 -0.214004 -0.014195 0.082964 0.143503 0.215682 0.433264 0.248688 0.015914 0.022054 -0.065120 -0.045151 0.004272 -0.013950 -0.065569 -0.015021 0.081658 -0.053666 0.000000 0.000000
0.048457 -0.058473 -0.002029 0.368375 -0.366124 -0.028705 -0.401104 -0.436117 -0.413430 1.642688 -1.504000 0.589051 0.507175 -0.065235 0.083746 -0.259134 -0.262026 -0.502591 -0.585251 -0.050670 0.107793 0.334851 0.199693 0.639020 -0.405828 0.000000 0.000000 -0.003462 0.033584 0.022984 0.063261 0.073560 0.345292 -0.301076 -0.090512 -0.157669 -0.016162 0.079793 0.068060 0.134508 0.410350 0.252218 0.029744 0.035517 -0.075082 -0.039540 0.003506 -0.013273 -0.083507 -0.022891 0.079875 -0.061177 0.000000 0.000000
