body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
1.035102,0.029325,0.761143,0.235103,-0.003898,-0.038027,0.971219,0.021571,-1.422538,0.353094,-0.150167,1.091269,-0.036917,-0.072655,-0.168907,0.264033,-0.441339,0.264772,-0.314210,-0.071083,-0.174133,0.780280,-0.655095,-1.015229,-1.366274,-1.154363,0.384447,-1.196600,0.679966,-5.785105,-0.264018,-5.394141,2.652210,-0.422842,-0.006461,1.040605,0.435902,0.703801,1.376559,-1.636198,-0.672620,2.758626,0.291856,-5.086148,-1.556811,-0.279438,-2.654657,0.987394,-2.452046
1.039554,0.029315,0.756831,0.244028,-0.003562,-0.041422,0.968877,0.035987,-1.528971,0.345620,-0.246920,1.140037,-0.048088,-0.067191,-0.146631,0.272314,-0.427076,0.294558,-0.349161,-0.083620,-0.125553,0.786540,-0.757543,-1.048540,-1.371355,-1.203658,0.403362,-1.248360,0.750266,-5.022776,-0.379702,-4.423022,2.248436,-0.622995,0.532705,1.148479,0.405049,0.792152,1.561175,-1.774628,-0.608983,2.105513,0.266078,-5.112175,-1.728046,-0.234425,-2.284151,0.881150,-2.703601
1.043595,0.028991,0.752631,0.254318,-0.003349,-0.045259,0.966055,0.051582,-1.623449,0.337906,-0.327087,1.181206,-0.061837,-0.051347,-0.122967,0.280235,-0.409653,0.327219,-0.385195,-0.095443,-0.089913,0.790923,-0.859582,-1.084351,-1.375651,-1.245729,0.419693,-1.304744,0.779570,-4.522213,-0.383046,-3.726067,1.913688,-0.684468,0.958451,1.227475,0.380164,0.983520,1.680295,-1.658881,-0.605521,1.502048,0.055765,-5.031103,-1.813039,-0.180280,-1.949552,0.758676,-2.907965
1.047134,0.028473,0.748971,0.265452,-0.003445,-0.049328,0.962855,0.067170,-1.709859,0.330298,-0.395963,1.216585,-0.075467,-0.028853,-0.097532,0.287520,-0.387735,0.361770,-0.415516,-0.107841,-0.065471,0.788770,-0.958787,-1.121062,-1.378566,-1.281640,0.433709,-1.364678,0.737177,-4.167623,-0.374626,-3.256390,1.664549,-0.632466,1.125960,1.380938,0.320181,1.203528,1.852303,-1.391351,-0.580551,0.993718,-0.289613,-4.859112,-1.821300,-0.105077,-1.660338,0.651227,-3.052625
1.050416,0.027611,0.745768,0.277109,-0.003852,-0.053331,0.959350,0.081069,-1.790154,0.322921,-0.457343,1.247788,-0.087136,-0.006309,-0.067730,0.293042,-0.361512,0.401311,-0.440849,-0.118665,-0.050164,0.779338,-1.053946,-1.157203,-1.379854,-1.312142,0.445742,-1.426849,0.660386,-3.921998,-0.404806,-3.054266,1.554585,-0.506882,0.946573,1.516379,0.234842,1.293211,2.056730,-1.205227,-0.449867,0.544718,-0.603230,-4.672438,-1.758853,-0.011706,-1.391521,0.564168,-3.142345
1.053309,0.026703,0.742484,0.288815,-0.004225,-0.057091,0.955672,0.093585,-1.866739,0.314106,-0.518134,1.278768,-0.095742,0.009010,-0.036877,0.296914,-0.336007,0.444039,-0.463725,-0.125836,-0.043682,0.764641,-1.145684,-1.191416,-1.379034,-1.337300,0.456276,-1.490372,0.641280,-3.797519,-0.572869,-3.089741,1.667982,-0.402029,0.599774,1.555808,0.152384,1.235253,2.167629,-1.154457,-0.205659,0.080801,-0.818071,-4.488871,-1.642868,0.117701,-1.151159,0.529075,-3.185907
1.055861,0.025847,0.738804,0.300409,-0.004838,-0.060431,0.951882,0.106720,-1.942055,0.300006,-0.580933,1.314507,-0.103217,0.017682,-0.005498,0.299137,-0.312102,0.488016,-0.487027,-0.126891,-0.046932,0.746616,-1.233501,-1.222918,-1.375146,-1.358189,0.466905,-1.554286,0.633244,-3.766137,-0.791447,-3.266501,1.867360,-0.197922,0.076972,1.555951,0.102973,1.189604,2.216563,-1.193561,-0.031609,-0.383219,-0.989221,-4.249528,-1.497126,0.262946,-0.921577,0.535588,-3.190026
1.058306,0.025216,0.734791,0.312060,-0.005278,-0.063382,0.947931,0.118915,-2.017385,0.282448,-0.648794,1.353463,-0.103659,0.012088,0.025361,0.301033,-0.288423,0.532701,-0.511468,-0.127100,-0.059011,0.725072,-1.315665,-1.251301,-1.368516,-1.374164,0.477700,-1.617973,0.535188,-3.837687,-0.981011,-3.574993,2.053094,0.156067,-0.565841,1.555275,0.122373,1.187881,2.290364,-1.160251,-0.008249,-0.778147,-1.129311,-3.958637,-1.332834,0.393230,-0.670984,0.554108,-3.155172
1.060342,0.024796,0.730680,0.323037,-0.005664,-0.066523,0.944028,0.128127,-2.095562,0.260765,-0.723932,1.396631,-0.096974,-0.004951,0.056713,0.304032,-0.264587,0.579631,-0.533437,-0.127221,-0.078058,0.701443,-1.391846,-1.276231,-1.359417,-1.385028,0.489070,-1.680493,0.364224,-3.930509,-1.158125,-3.880551,2.214122,0.572995,-1.114682,1.536836,0.192999,1.248894,2.340075,-1.074980,-0.099741,-1.082139,-1.181714,-3.628501,-1.149690,0.482365,-0.457177,0.564967,-3.073427
1.062091,0.024609,0.726679,0.333666,-0.005884,-0.069525,0.940106,0.133484,-2.174605,0.236123,-0.804016,1.442028,-0.080739,-0.032499,0.086834,0.308753,-0.238467,0.626304,-0.554467,-0.131090,-0.102297,0.677804,-1.460805,-1.297289,-1.349222,-1.392451,0.500298,-1.740910,0.168353,-3.851295,-1.289530,-4.012796,2.250555,1.041784,-1.619961,1.430034,0.286535,1.318144,2.251744,-0.975749,-0.300339,-1.307038,-1.125945,-3.217179,-0.941560,0.493327,-0.303793,0.523393,-2.948874
1.063620,0.024656,0.722895,0.343834,-0.005963,-0.072342,0.936221,0.134861,-2.249614,0.209184,-0.884444,1.486653,-0.055303,-0.069750,0.113915,0.315494,-0.211861,0.669701,-0.572467,-0.139234,-0.130340,0.656405,-1.520534,-1.313893,-1.339684,-1.397180,0.510005,-1.798448,0.039636,-3.373909,-1.346168,-3.738904,2.095613,1.403961,-1.954625,1.202006,0.325814,1.257209,1.971361,-0.819287,-0.383122,-1.420842,-0.961363,-2.673069,-0.718108,0.426051,-0.188357,0.423129,-2.717310
1.064811,0.024741,0.719663,0.352777,-0.005834,-0.074635,0.932708,0.135069,-2.309561,0.182276,-0.953572,1.525852,-0.024581,-0.110684,0.134915,0.321785,-0.188179,0.705159,-0.587238,-0.146415,-0.159130,0.639349,-1.567728,-1.326013,-1.332180,-1.399985,0.517224,-1.849602,0.031769,-1.991880,-0.816397,-2.302739,1.306626,1.232077,-1.514480,0.694094,0.115463,0.889790,1.183419,-0.479980,-0.163002,-0.904342,-0.519849,-1.256657,-0.366294,0.233573,-0.081968,0.223574,-1.587510
1.065200,0.023728,0.718340,0.359608,-0.005366,-0.074648,0.930097,0.136132,-2.329289,0.176528,-0.976554,1.538918,-0.006020,-0.130329,0.141678,0.320112,-0.176269,0.717037,-0.591666,-0.145754,-0.166513,0.635611,-1.570800,-1.328545,-1.330341,-1.400458,0.518948,-1.861948,0.074468,-0.975186,-0.352056,-1.266715,0.687182,1.070968,-1.152658,0.386512,-0.097381,0.642929,0.685555,-0.221105,0.039432,-0.325813,-0.157842,-0.076795,-0.106013,0.086695,-0.013238,0.081421,-0.544578
1.065462,0.023037,0.717247,0.366687,-0.004613,-0.074477,0.927347,0.138048,-2.348569,0.168194,-1.004241,1.553339,0.018258,-0.156790,0.150375,0.317890,-0.162462,0.732581,-0.596082,-0.144838,-0.172163,0.633036,-1.570800,-1.330253,-1.328712,-1.400514,0.520480,-1.871386,0.040962,-0.925189,-0.441818,-1.473585,0.748873,1.297837,-1.544263,0.467315,-0.111037,0.750199,0.825904,-0.221664,-0.013418,-0.276772,-0.122291,-0.000003,-0.080109,0.079378,0.011227,0.074629,-0.470829
1.065737,0.022170,0.716460,0.373960,-0.003688,-0.074137,0.924470,0.137771,-2.366297,0.158856,-1.035497,1.568873,0.045894,-0.192099,0.160371,0.315671,-0.146261,0.750073,-0.600533,-0.146291,-0.177584,0.630720,-1.570800,-1.331749,-1.327166,-1.400009,0.521933,-1.880781,-0.094099,-0.789738,-0.422258,-1.644737,0.730219,1.451924,-2.029332,0.499904,-0.125784,0.877139,0.890993,-0.169134,-0.097652,-0.259225,-0.110833,0.000000,-0.070047,0.062674,0.044310,0.058475,-0.468588
1.065919,0.021055,0.716049,0.381770,-0.002414,-0.073741,0.921308,0.134284,-2.380158,0.151304,-1.070030,1.582548,0.076335,-0.237963,0.170371,0.312859,-0.127376,0.768221,-0.602848,-0.148744,-0.182532,0.628602,-1.570800,-1.333055,-1.326205,-1.398742,0.522819,-1.890129,-0.181038,-0.721967,-0.326932,-1.589796,0.653428,1.553276,-1.742347,0.519869,-0.180560,0.987933,0.875634,-0.054234,-0.098499,-0.234997,-0.103436,0.000003,-0.062090,0.019416,0.075245,0.016442,-0.464097
1.066498,0.019283,0.716174,0.389840,-0.000921,-0.072965,0.917987,0.130529,-2.395175,0.145778,-1.099089,1.595010,0.108025,-0.261793,0.181166,0.308448,-0.106744,0.785099,-0.602702,-0.150231,-0.186984,0.626582,-1.570800,-1.334233,-1.326389,-1.396999,0.522591,-1.899345,-0.219167,-0.664943,-0.073012,-1.159555,0.468913,1.380961,-0.595888,0.604489,-0.313135,1.119678,0.811470,0.062671,-0.033293,-0.215782,-0.098449,0.000003,-0.055131,-0.028741,0.111103,-0.029683,-0.462949
