body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
-0.008605,-0.687749,0.710823,0.675785,-0.017397,-0.014861,-0.736744,0.125786,0.023784,0.135141,0.071860,0.906911,-0.501373,0.078583,0.777866,0.470570,0.799579,1.099867,-0.182488,-0.073232,-0.505741,0.286011,0.692743,-1.682604,-0.980072,0.439170,1.377196,-1.455069,-0.535949,0.801251,-0.796080,1.050277,-1.820388,-0.838391,0.305434,1.012751,-0.116166,1.065813,0.044766,0.811833,0.603105,2.008673,0.112629,-0.979842,0.113842,2.453695,0.292990,-0.438547,-2.043489
-0.001652,-0.678852,0.711198,0.676835,-0.016332,-0.017139,-0.735754,0.114385,0.037141,0.117252,0.087933,0.868517,-0.511286,0.082902,0.796709,0.464413,0.820766,1.094889,-0.163062,-0.063047,-0.433301,0.284904,0.653007,-1.677090,-0.889339,0.441377,1.361721,-1.523244,-0.587537,-0.633663,-0.833559,-0.305944,-0.855446,-0.618960,0.156359,0.979015,-0.370348,1.026314,-0.500947,1.109338,0.449580,3.479552,-0.556537,-2.887328,0.420287,4.990111,-1.117158,-0.855631,-2.924782
0.005356,-0.668303,0.711888,0.678599,-0.015071,-0.018126,-0.734130,0.102285,-0.001562,0.101798,0.059622,0.872693,-0.526131,0.084837,0.817026,0.455756,0.840631,1.079829,-0.138115,-0.055248,-0.366559,0.263749,0.577250,-1.665793,-0.780468,0.394483,1.342970,-1.572060,-0.614191,-2.132446,-0.809891,-1.493407,0.367622,-0.566280,0.191812,0.942996,-0.517391,1.028795,-0.963372,1.347337,0.433099,2.987004,-1.042503,-4.534838,0.659716,5.508590,-2.806646,-1.165909,-1.907781
0.012485,-0.657282,0.713460,0.680133,-0.013641,-0.019253,-0.732709,0.089817,-0.048157,0.084856,0.028197,0.883222,-0.533937,0.090574,0.834429,0.443718,0.861918,1.056354,-0.109168,-0.045723,-0.313821,0.243204,0.471614,-1.650701,-0.668995,0.329111,1.315085,-1.599555,-0.626408,-2.422951,-0.858667,-1.658239,0.603731,-0.237395,0.366871,0.804646,-0.672876,1.055430,-1.351929,1.509772,0.584091,2.163348,-1.047339,-6.153908,0.861287,5.403336,-3.372945,-2.015507,-0.958380
0.019418,-0.645658,0.715385,0.682133,-0.012556,-0.020345,-0.730837,0.077229,-0.098480,0.067451,-0.006707,0.896842,-0.535627,0.099512,0.849212,0.428841,0.882848,1.025751,-0.077724,-0.031885,-0.280025,0.221856,0.331094,-1.631341,-0.564335,0.259566,1.262350,-1.610395,-0.655677,-2.529176,-0.810639,-1.775265,0.687142,-0.044647,0.472014,0.716552,-0.680932,1.017100,-1.607625,1.675512,0.752051,1.238541,-0.817168,-7.527248,1.013938,5.028481,-3.332198,-3.238776,-0.278971
0.025554,-0.633717,0.717319,0.683945,-0.011846,-0.020623,-0.729146,0.063590,-0.149324,0.052431,-0.042813,0.910707,-0.535723,0.109455,0.863091,0.416480,0.902602,0.992049,-0.042148,-0.015641,-0.264279,0.210517,0.170524,-1.610143,-0.467856,0.195824,1.185534,-1.610714,-0.720587,-2.593279,-0.717863,-1.883659,0.681926,0.012557,0.455388,0.767462,-0.494821,0.936483,-1.603116,1.830430,0.912647,0.255295,-0.371364,-8.179993,1.040184,4.495699,-2.910362,-4.473400,0.131384
0.031696,-0.621693,0.719301,0.685586,-0.011375,-0.019389,-0.727645,0.048405,-0.202211,0.038737,-0.082053,0.924119,-0.535124,0.117728,0.879911,0.409049,0.920308,0.961627,-0.004507,0.004621,-0.269813,0.207001,0.003894,-1.589734,-0.384507,0.143151,1.083414,-1.605140,-0.711722,-2.924775,-0.640756,-2.179763,0.785488,-0.013930,0.483208,1.001523,-0.258558,0.625288,-1.401015,1.808353,1.325588,-0.890785,0.073947,-8.228656,0.936133,3.873214,-2.209447,-5.753601,0.289088
0.036943,-0.609629,0.720922,0.686706,-0.010171,-0.015756,-0.726694,0.035121,-0.266315,0.026801,-0.130004,0.942127,-0.536280,0.128783,0.903152,0.406138,0.927613,0.936009,0.030186,0.037382,-0.299911,0.213475,-0.158623,-1.572698,-0.312928,0.107446,0.955390,-1.599150,-0.735496,-2.948274,-0.488974,-2.191330,0.709416,0.063372,0.581717,1.095156,-0.089769,-0.038847,-0.595713,1.378356,2.034578,-1.653267,0.380383,-6.915884,0.658014,2.879022,-1.295482,-5.765749,0.210437
0.041799,-0.598127,0.723266,0.687351,-0.010413,-0.011424,-0.726161,0.018985,-0.320142,0.019178,-0.169707,0.952496,-0.532590,0.140997,0.923717,0.405458,0.918754,0.937798,0.050627,0.086004,-0.335944,0.222216,-0.272741,-1.563414,-0.269346,0.091332,0.852784,-1.596722,-0.949360,-2.506346,-0.367214,-1.864896,0.372759,0.324309,0.540988,0.674133,0.144076,-0.151896,0.929032,0.554676,1.129340,-1.236787,0.278291,-3.984035,0.235671,1.424189,-0.484201,-3.711066,0.021577
0.045362,-0.587347,0.725754,0.687789,-0.010420,-0.007464,-0.725798,-0.002853,-0.366569,0.012112,-0.204600,0.957037,-0.523308,0.150423,0.930117,0.411901,0.921538,0.973170,0.052373,0.082556,-0.349382,0.224607,-0.317984,-1.563271,-0.255960,0.088078,0.806947,-1.598287,-1.115265,-2.505434,-0.356620,-1.911528,0.417492,0.547828,0.330089,0.533888,0.485691,-0.298995,2.828105,-0.210915,-0.618760,-0.804692,0.137265,-2.492555,-0.060689,0.656748,-0.140325,-2.670513,-0.142258
