body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
0.197081,0.018539,0.752100,0.727549,0.000269,0.064706,-0.682998,0.203230,-0.679078,-0.234105,-0.586982,0.876534,-0.326310,0.186428,0.342739,0.064517,-0.125825,0.617138,-0.372652,0.000080,-0.522748,0.460286,-0.151551,-1.711449,-0.544554,0.238327,0.886229,-1.453999,-0.516650,0.098440,0.241012,0.590122,-0.121874,-0.203461,-0.397800,0.051926,0.053380,-0.250200,-0.261398,0.576354,-1.004723,0.090361,0.224064,0.168931,0.048003,-0.130659,0.402290,0.229914,-0.087619
0.195898,0.018280,0.752380,0.724784,0.001840,0.063078,-0.686081,0.192793,-0.676361,-0.225982,-0.572392,0.873738,-0.332160,0.177055,0.342401,0.067038,-0.122839,0.611079,-0.360797,-0.016589,-0.520039,0.464536,-0.148371,-1.710116,-0.546574,0.246345,0.890463,-1.455953,-0.679633,0.208849,0.546747,0.866710,-0.178832,-0.436990,-0.457885,-0.084559,0.191630,0.605601,-0.305408,0.510186,-0.617920,0.192745,0.198986,0.136712,0.091460,-0.061217,0.373609,0.180097,-0.104961
0.194911,0.018296,0.752064,0.722295,0.002101,0.061157,-0.688872,0.176045,-0.670724,-0.212235,-0.552313,0.869381,-0.343790,0.168113,0.339357,0.072182,-0.101600,0.604922,-0.352244,-0.024637,-0.515038,0.468246,-0.146083,-1.707791,-0.547002,0.253271,0.893433,-1.458197,-1.864452,0.627607,1.277950,2.036250,-0.555223,-0.748636,-0.295585,0.133153,0.441952,2.347765,-0.019096,0.451988,-0.169390,0.810283,0.313968,0.102162,0.373688,0.126137,0.515760,0.119254,-0.257203
0.194359,0.017457,0.752075,0.721459,0.002522,0.058559,-0.689972,0.118215,-0.651257,-0.174864,-0.490942,0.851529,-0.362105,0.165232,0.347727,0.084716,-0.028928,0.610315,-0.342717,-0.023364,-0.487627,0.477094,-0.144285,-1.695168,-0.541529,0.266975,0.895233,-1.466241,-3.261164,1.286754,1.996795,3.585451,-1.189728,-0.835848,-0.042730,0.980137,0.669976,4.463572,1.006025,0.257611,0.195794,2.185796,0.534048,-0.007769,1.023158,0.545630,0.636822,-0.132373,-0.568989
0.194329,0.016551,0.752111,0.721523,0.003404,0.055478,-0.690156,0.045598,-0.619254,-0.132363,-0.408895,0.821792,-0.377224,0.166403,0.378562,0.098981,0.076942,0.645163,-0.341940,-0.016805,-0.427606,0.489607,-0.146394,-1.666864,-0.525177,0.278744,0.888138,-1.480957,-3.809651,1.700580,1.868634,4.173416,-1.354544,-0.723538,0.121890,1.950434,0.770813,5.501607,2.443769,-0.304601,0.475275,3.993725,0.578330,-0.389200,1.960146,1.207103,-0.036353,-0.993402,-0.854605
0.194878,0.015640,0.751510,0.725452,0.004764,0.051521,-0.686325,-0.034171,-0.583233,-0.100119,-0.324005,0.797347,-0.391047,0.170107,0.425744,0.115548,0.191136,0.708066,-0.354901,-0.004353,-0.327878,0.500228,-0.159853,-1.616762,-0.493245,0.265521,0.855497,-1.500425,-3.959910,1.589270,1.587750,4.016949,-1.012307,-0.710298,0.122369,2.046309,1.065561,5.205777,2.761775,-0.380909,0.538878,4.922865,0.343963,-0.821341,2.516389,1.649570,-1.190775,-2.115199,-0.879496
0.195234,0.014345,0.751130,0.730069,0.005262,0.049896,-0.681529,-0.112798,-0.555683,-0.068853,-0.248217,0.781300,-0.405636,0.171298,0.460414,0.141603,0.285173,0.755634,-0.357176,0.004750,-0.230692,0.503366,-0.179247,-1.566209,-0.459194,0.231113,0.803530,-1.516137,-3.845399,1.360592,1.434085,3.618530,-0.782219,-0.664763,-0.031164,1.466747,1.288826,4.107064,2.052723,-0.010413,0.274585,4.663284,0.033359,-0.974303,2.477291,1.673722,-2.086855,-3.034441,-0.704670
0.195485,0.012488,0.750966,0.735924,0.006297,0.049121,-0.675250,-0.187987,-0.528810,-0.042755,-0.179264,0.766058,-0.417637,0.168861,0.484414,0.167101,0.355419,0.790175,-0.355318,0.006630,-0.141347,0.501562,-0.198825,-1.517671,-0.426296,0.182047,0.734119,-1.528612,-3.491882,1.351777,1.193707,3.242981,-0.803773,-0.520012,-0.208808,0.936770,1.187086,2.927616,1.389159,0.149605,-0.069906,4.189225,-0.125347,-0.864869,2.371755,1.626575,-2.684334,-3.775199,-0.549620
0.195095,0.010446,0.751027,0.741188,0.007581,0.048812,-0.669478,-0.252474,-0.501612,-0.021105,-0.118498,0.749149,-0.426436,0.162946,0.497885,0.189087,0.402278,0.811200,-0.351192,0.001954,-0.063123,0.498352,-0.213842,-1.471339,-0.394131,0.123740,0.652522,-1.538122,-2.773835,1.277429,0.963371,2.736248,-0.891210,-0.361606,-0.322924,0.484554,0.983858,1.883559,0.723031,0.217167,-0.342932,3.614516,-0.161941,-0.569450,2.272844,1.616570,-3.020432,-4.304706,-0.410530
0.194128,0.008306,0.751152,0.743999,0.009291,0.049427,-0.666286,-0.298940,-0.477713,-0.004221,-0.069814,0.730410,-0.432101,0.155944,0.503796,0.206456,0.430761,0.819096,-0.346631,-0.007087,0.003234,0.495084,-0.221603,-1.426757,-0.361633,0.061230,0.561931,-1.545033,-1.689106,0.996625,0.682309,1.947735,-0.913619,-0.167739,-0.317271,0.157876,0.710922,1.055131,0.127892,0.202239,-0.446320,2.995345,-0.206763,-0.118863,2.188483,1.667854,-3.101785,-4.705693,-0.286615
