body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
0.000076,0.011647,0.758453,0.659958,-0.009901,-0.001519,-0.751236,0.029888,-0.371529,-0.028856,-0.242479,0.729864,-0.393600,0.133491,0.287581,0.100634,0.331943,0.610257,-0.294204,-0.078687,-0.079633,0.062426,-0.801105,-0.156102,-0.069145,-0.009717,0.473865,-0.057075,0.001566,0.003476,0.007376,0.019221,0.000677,0.003718,-0.000910,0.001591,0.003563,0.014125,0.001417,0.004680,-0.004515,-0.053603,0.005591,-0.122757,-0.102586,-0.033243,0.014733,0.080527,-0.052947
0.000104,0.011751,0.758460,0.659875,-0.009951,-0.001550,-0.751308,0.029850,-0.371395,-0.028764,-0.242226,0.729810,-0.393588,0.133448,0.287611,0.100713,0.332243,0.610265,-0.294075,-0.078860,-0.080679,0.062540,-0.803473,-0.158134,-0.069786,-0.009429,0.475416,-0.058127,-0.002280,0.007550,0.002849,0.012489,-0.002252,0.000352,-0.001527,0.001009,0.003301,0.013129,-0.000377,0.003150,-0.000237,-0.051116,0.005868,-0.114328,-0.100636,-0.030915,0.014086,0.074854,-0.052322
0.000122,0.011842,0.758459,0.659806,-0.010004,-0.001580,-0.751368,0.029797,-0.371227,-0.028742,-0.241980,0.729774,-0.393586,0.133430,0.287621,0.100766,0.332468,0.610242,-0.294078,-0.078696,-0.081678,0.062660,-0.805678,-0.160128,-0.070382,-0.009153,0.476859,-0.059168,-0.000924,0.007640,0.002459,0.013834,-0.002196,-0.000389,0.000730,0.000134,0.001511,0.011539,0.000480,0.005312,0.002420,-0.048753,0.006117,-0.106159,-0.098709,-0.028437,0.013391,0.069518,-0.051673
0.000149,0.011924,0.758461,0.659689,-0.010069,-0.001649,-0.751469,0.029813,-0.371089,-0.028666,-0.241672,0.729722,-0.393603,0.133477,0.287616,0.100774,0.332705,0.610284,-0.293863,-0.078763,-0.082629,0.062785,-0.807719,-0.162082,-0.070924,-0.008894,0.478197,-0.060194,0.000278,0.009993,0.002935,0.017671,0.000396,0.001407,-0.000564,-0.003199,-0.000581,0.007731,0.001314,0.001705,0.004358,-0.046366,0.006281,-0.098830,-0.096802,-0.025856,0.012587,0.064817,-0.050988
0.000179,0.012023,0.758463,0.659622,-0.010134,-0.001723,-0.751527,0.029808,-0.370827,-0.028625,-0.241273,0.729790,-0.393530,0.133408,0.287493,0.100743,0.332777,0.610294,-0.294010,-0.078522,-0.083532,0.062912,-0.809631,-0.164000,-0.071416,-0.008650,0.479452,-0.061207,-0.001129,0.012851,0.001455,0.019646,0.000533,0.002864,-0.004685,-0.004963,-0.001917,0.004723,0.001667,-0.001893,0.007558,-0.043842,0.006356,-0.092751,-0.094985,-0.023634,0.011807,0.060400,-0.050386
0.000213,0.012097,0.758461,0.659559,-0.010228,-0.001818,-0.751581,0.029768,-0.370575,-0.028608,-0.240887,0.729743,-0.393489,0.133290,0.287418,0.100697,0.332894,0.610350,-0.293939,-0.078461,-0.084383,0.063039,-0.811429,-0.165882,-0.071869,-0.008421,0.480613,-0.062210,-0.001521,0.012405,0.002181,0.021162,-0.002374,-0.000727,-0.004615,-0.003345,-0.003451,0.006062,0.002985,0.003982,-0.000625,-0.041510,0.006447,-0.086398,-0.093215,-0.021805,0.011027,0.055839,-0.049920
0.000243,0.012202,0.758459,0.659519,-0.010274,-0.001890,-0.751615,0.029747,-0.370331,-0.028538,-0.240427,0.729695,-0.393559,0.133223,0.287360,0.100605,0.333019,0.610414,-0.293851,-0.078547,-0.085193,0.063170,-0.813087,-0.167728,-0.072288,-0.008209,0.481685,-0.063204,0.000274,0.011881,0.002367,0.024014,-0.001128,-0.001860,-0.004736,-0.003532,-0.003807,0.003713,0.003123,0.001741,0.002448,-0.039781,0.006692,-0.077789,-0.091447,-0.020170,0.010383,0.051472,-0.049507
0.000281,0.012294,0.758459,0.659467,-0.010341,-0.001971,-0.751660,0.029779,-0.370100,-0.028513,-0.239926,0.729698,-0.393563,0.133101,0.287276,0.100545,0.333042,0.610475,-0.293869,-0.078363,-0.085974,0.063307,-0.814540,-0.169540,-0.072676,-0.008006,0.482671,-0.064190,0.000944,0.013086,-0.000269,0.016616,-0.002390,0.000647,-0.002070,-0.004282,-0.002562,0.003187,0.002638,0.001439,0.004855,-0.038692,0.007060,-0.065100,-0.089578,-0.018697,0.009885,0.047077,-0.049134
0.000305,0.012406,0.758469,0.659393,-0.010442,-0.002085,-0.751723,0.029785,-0.369808,-0.028548,-0.239762,0.729599,-0.393533,0.133140,0.287188,0.100502,0.333147,0.610519,-0.293793,-0.078352,-0.086740,0.063452,-0.815691,-0.171312,-0.073036,-0.007813,0.483568,-0.065169,0.000447,0.012310,-0.001636,0.010626,-0.003216,0.004996,0.003228,-0.003023,-0.003087,0.004506,0.001036,0.003868,0.001423,-0.038020,0.007513,-0.050394,-0.087645,-0.017081,0.009559,0.043564,-0.048669
0.000322,0.012538,0.758474,0.659344,-0.010493,-0.002166,-0.751765,0.029797,-0.369607,-0.028579,-0.239501,0.729570,-0.393363,0.133230,0.287155,0.100421,0.333222,0.610517,-0.293714,-0.078306,-0.087495,0.063607,-0.816556,-0.173045,-0.073359,-0.007624,0.484414,-0.066137,0.002525,0.009022,-0.002291,0.012509,-0.003099,0.008023,0.006708,0.000031,-0.003993,0.007550,-0.002161,0.003523,0.004084,-0.037194,0.007902,-0.036106,-0.085643,-0.015297,0.009291,0.041569,-0.048114
0.000334,0.012661,0.758477,0.659207,-0.010537,-0.002275,-0.751885,0.029886,-0.369447,-0.028640,-0.239262,0.729475,-0.393212,0.133409,0.287190,0.100343,0.333449,0.610433,-0.293653,-0.078189,-0.088228,0.063768,-0.817135,-0.174737,-0.073648,-0.007442,0.485231,-0.067094,0.005350,0.003185,-0.001454,0.016793,-0.002410,0.012523,0.003720,0.002258,-0.003454,0.013191,-0.004938,0.004026,0.004299,-0.035711,0.008446,-0.023064,-0.083503,-0.013316,0.008877,0.041333,-0.047538
0.000343,0.012789,0.758492,0.659079,-0.010553,-0.002336,-0.751996,0.030011,-0.369480,-0.028637,-0.238829,0.729473,-0.392862,0.133379,0.287246,0.100283,0.333750,0.610319,-0.293553,-0.078134,-0.088924,0.063945,-0.817479,-0.176386,-0.073892,-0.007269,0.486067,-0.068038,0.004337,-0.001153,-0.000601,0.016179,-0.003141,0.012007,-0.001645,0.004764,-0.003364,0.016446,-0.007749,0.002488,0.008498,-0.033379,0.009276,-0.013210,-0.081394,-0.011235,0.008404,0.042542,-0.046918
0.000343,0.012930,0.758507,0.658892,-0.010544,-0.002419,-0.752160,0.030060,-0.369493,-0.028664,-0.238614,0.729350,-0.392732,0.133343,0.287380,0.100208,0.334107,0.610123,-0.293553,-0.077849,-0.089563,0.064139,-0.817664,-0.177993,-0.074097,-0.007105,0.486933,-0.068971,0.003066,-0.002620,-0.003544,0.010154,-0.004184,0.010268,0.001409,0.007445,-0.004207,0.020944,-0.009681,0.003546,0.006109,-0.030062,0.010165,-0.006790,-0.079281,-0.009393,0.007772,0.044318,-0.046351
